DATE,WATER INTAKE (m3),TOTAL RAINFALL (m3),TEMPERATURE,TOTAL EVAPORATION (m3),TOTAL BWF
2015-01-01,5116.0,0.0,26.5,1.5082823079,5117.5082823079
2015-01-02,5116.0,0.0,27.2,1.5321229833599999,5117.53212298336
2015-01-03,5116.0,0.0,27.7,1.54915203726,5117.54915203726
2015-01-04,5116.0,0.0,27.6,1.54574622648,5117.54574622648
2015-01-05,5116.0,0.0,27.7,1.54915203726,5117.54915203726
2015-01-06,5116.0,2.7601999999999998,27.9,1.55596365882,5120.316163658819
2015-01-07,5116.0,13.93901,27.5,1.5423404157000002,5131.4813504157
2015-01-08,5116.0,28.982099999999996,27.2,1.5321229833599999,5146.51422298336
2015-01-09,5116.0,4.83035,27.6,1.54574622648,5122.3760962264805
2015-01-10,5116.0,13.38697,27.9,1.55596365882,5130.942933658819
2015-01-11,5116.0,0.13801,27.7,1.54915203726,5117.687162037259
2015-01-12,5116.0,0.0,27.8,1.55255784804,5117.55255784804
2015-01-13,5116.0,0.0,27.4,1.5389346049200001,5117.53893460492
2015-01-14,5116.0,0.0,27.9,1.55596365882,5117.55596365882
2015-01-15,5116.0,0.0,27.1,1.5287171725800002,5117.52871717258
2015-01-16,5116.0,0.0,27.5,1.5423404157000002,5117.5423404157
2015-01-17,5116.0,0.0,27.5,1.5423404157000002,5117.5423404157
2015-01-18,5116.0,0.0,28.1,1.5627752803800001,5117.56277528038
2015-01-19,5116.0,0.0,28.0,1.5593694696,5117.5593694696
2015-01-20,5116.0,0.0,27.7,1.54915203726,5117.54915203726
2015-01-21,5116.0,0.0,27.2,1.5321229833599999,5117.53212298336
2015-01-22,5116.0,0.0,25.6,1.47763001088,5117.47763001088
2015-01-23,5116.0,0.0,26.9,1.5219055510200001,5117.52190555102
2015-01-24,5116.0,0.96607,27.2,1.5321229833599999,5118.49819298336
2015-01-25,5116.0,0.0,26.9,1.5219055510200001,5117.52190555102
2015-01-26,5116.0,0.0,26.8,1.51849974024,5117.51849974024
2015-01-27,5116.0,0.0,27.4,1.5389346049200001,5117.53893460492
2015-01-28,5116.0,0.0,27.9,1.55596365882,5117.55596365882
2015-01-29,5116.0,1.6561199999999998,27.8,1.55255784804,5119.20867784804
2015-01-30,5116.0,0.55204,27.6,1.54574622648,5118.09778622648
2015-01-31,5116.0,0.0,27.2,1.5321229833599999,5117.53212298336
2015-02-01,4644.0,0.13801,27.8,1.55255784804,4645.69056784804
2015-02-02,4644.0,0.27602,27.4,1.5389346049200001,4645.81495460492
2015-02-03,4644.0,24.151749999999996,26.3,1.5014706863400002,4669.65322068634
2015-02-04,4644.0,6.348459999999999,25.8,1.48444163244,4651.832901632441
2015-02-05,4644.0,1.3800999999999999,26.1,1.4946590647800002,4646.87475906478
2015-02-06,4644.0,1.10408,26.5,1.5082823079,4646.6123623079
2015-02-07,4644.0,0.55204,26.0,1.4912532539999996,4646.043293254
2015-02-08,4644.0,0.0,25.5,1.4742242001,4645.4742242001
