DATE,WATER INTAKE,WATER DISCHARGE,Total coliform,E.Coli,ammonia,ferum,COD,BOD ,Total Grey
2015-01-01,26482.0,26482.0,1.40542e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.6509911542
2015-01-02,26482.0,26482.0,1.40542e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.6509911542
2015-01-03,26482.0,26482.0,1.40542e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.6509911542
2015-01-04,26482.0,26482.0,1.40542e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.6509911542
2015-01-05,26482.0,26482.0,1.40542e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.6509911542
2015-01-06,26482.0,26482.0,1.40542e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.6509911542
2015-01-07,26482.0,26482.0,1.40542e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.6509911542
2015-01-08,26482.0,26482.0,9.80365e-05,0.007355,0.178651,0.182115,0.085821,0.204336,0.6583760365
2015-01-09,26482.0,26482.0,9.80365e-05,0.007355,0.178651,0.182115,0.085821,0.204336,0.6583760365
2015-01-10,26482.0,26482.0,9.80365e-05,0.007355,0.178651,0.182115,0.085821,0.204336,0.6583760365
2015-01-11,26482.0,26482.0,9.80365e-05,0.007355,0.178651,0.182115,0.085821,0.204336,0.6583760365
2015-01-12,26482.0,26482.0,9.80365e-05,0.007355,0.178651,0.182115,0.085821,0.204336,0.6583760365
2015-01-13,26482.0,26482.0,2.01843e-05,0.000137,0.178651,0.182115,0.085821,0.204336,0.6510801843
2015-01-14,26482.0,26482.0,2.01843e-05,0.000137,0.178651,0.182115,0.085821,0.204336,0.6510801843
2015-01-15,26482.0,26482.0,2.01843e-05,0.000137,0.178651,0.182115,0.085821,0.204336,0.6510801843
2015-01-16,26482.0,26482.0,2.01843e-05,0.000137,0.178651,0.182115,0.085821,0.204336,0.6510801843
2015-01-17,26482.0,26482.0,2.01843e-05,0.000137,0.178651,0.182115,0.085821,0.204336,0.6510801843
2015-01-18,26482.0,26482.0,2.01843e-05,0.000137,0.178651,0.182115,0.085821,0.204336,0.6510801843
2015-01-19,26482.0,26482.0,2.01843e-05,0.000137,0.178651,0.182115,0.085821,0.204336,0.6510801843
2015-01-20,26482.0,26482.0,6.7386e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.651044486
2015-01-21,26482.0,26482.0,6.7386e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.651044486
2015-01-22,26482.0,26482.0,6.7386e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.651044486
2015-01-23,26482.0,26482.0,6.7386e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.651044486
2015-01-24,26482.0,26482.0,6.7386e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.651044486
2015-01-25,26482.0,26482.0,6.7386e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.651044486
2015-01-26,26482.0,26482.0,6.7386e-05,5.41e-05,0.178651,0.182115,0.085821,0.204336,0.651044486
2015-01-27,26482.0,26482.0,9.37314e-05,0.00015,0.178651,0.182115,0.085821,0.204336,0.6511667314
2015-01-28,26482.0,26482.0,9.37314e-05,0.00015,0.178651,0.182115,0.085821,0.204336,0.6511667314
2015-01-29,26482.0,26482.0,9.37314e-05,0.00015,0.178651,0.182115,0.085821,0.204336,0.6511667314
2015-01-30,26482.0,26482.0,9.37314e-05,0.00015,0.178651,0.182115,0.085821,0.204336,0.6511667314
2015-01-31,26482.0,26482.0,9.37314e-05,0.00015,0.178651,0.182115,0.085821,0.204336,0.6511667314
2015-02-01,28938.0,28938.0,9.37314e-05,0.00015,0.178651,0.242546,0.040192,0.223287,0.6849197314000001
2015-02-02,28938.0,28938.0,9.37314e-05,0.00015,0.178651,0.242546,0.040192,0.223287,0.6849197314000001
2015-02-03,28938.0,28938.0,9.37314e-05,0.00015,0.178651,0.242546,0.040192,0.223287,0.6849197314000001
2015-02-04,28938.0,28938.0,9.37314e-05,0.00015,0.178651,0.242546,0.040192,0.223287,0.6849197314000001
2015-02-05,28938.0,28938.0,9.37314e-05,0.00015,0.178651,0.242546,0.040192,0.223287,0.6849197314000001
2015-02-06,28938.0,28938.0,9.37314e-05,0.00015,0.178651,0.242546,0.040192,0.223287,0.6849197314000001
2015-02-07,28938.0,28938.0,9.37314e-05,0.00015,0.178651,0.242546,0.040192,0.223287,0.6849197314000001
2015-02-08,28938.0,28938.0,9.37314e-05,0.00015,0.178651,0.242546,0.040192,0.223287,0.6849197314000001
2015-02-09,28938.0,28938.0,9.37314e-05,0.00015,0.178651,0.242546,0.040192,0.223287,0.6849197314000001
2015-02-10,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-11,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-12,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-13,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-14,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-15,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-16,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-17,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-18,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-19,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-20,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-21,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-22,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-23,28938.0,28938.0,7.3193e-06,5.91e-05,0.178651,0.242546,0.040192,0.223287,0.6847424193
2015-02-24,28938.0,28938.0,7.26163e-06,5.86e-05,0.178651,0.242546,0.040192,0.223287,0.6847418616300001
2015-02-25,28938.0,28938.0,7.26163e-06,5.86e-05,0.178651,0.242546,0.040192,0.223287,0.6847418616300001
2015-02-26,28938.0,28938.0,7.26163e-06,5.86e-05,0.178651,0.242546,0.040192,0.223287,0.6847418616300001
2015-02-27,28938.0,28938.0,7.26163e-06,5.86e-05,0.178651,0.242546,0.040192,0.223287,0.6847418616300001
2015-02-28,28938.0,28938.0,7.26163e-06,5.86e-05,0.178651,0.242546,0.040192,0.223287,0.6847418616300001
2015-03-01,28710.0,28710.0,7.26163e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398386163
2015-03-02,28710.0,28710.0,7.26163e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398386163
2015-03-03,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-04,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-05,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-06,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-07,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-08,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-09,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-10,28710.0,28710.0,4.47038e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398107038
2015-03-11,28710.0,28710.0,4.47038e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398107038
2015-03-12,28710.0,28710.0,4.47038e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398107038
2015-03-13,28710.0,28710.0,4.47038e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398107038
2015-03-14,28710.0,28710.0,4.47038e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398107038
2015-03-15,28710.0,28710.0,4.47038e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398107038
2015-03-16,28710.0,28710.0,4.47038e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398107038
2015-03-17,28710.0,28710.0,4.47038e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398107038
2015-03-18,28710.0,28710.0,4.47038e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.71398107038
2015-03-19,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-20,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-21,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-22,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
2015-03-23,28710.0,28710.0,1.14747e-06,5.86e-05,0.178651,0.260572,0.053167,0.221528,0.7139777474700001
